t,wall_time,cpu,util_ema,chosen_freq_khz,freq_idx,est_power_w
25.068,1761992945.8658729,5,0.0002,300000,0,5.0004
25.068,1761992945.8658729,6,0.0,300000,0,5.0
25.068,1761992945.8658729,7,0.0,300000,0,5.0
25.569,1761992946.3671017,0,0.0,300000,0,5.0
25.569,1761992946.3671017,1,0.0,300000,0,5.0
25.569,1761992946.3671017,2,0.0075,300000,0,5.015
25.569,1761992946.3671017,3,0.0,300000,0,5.0
25.569,1761992946.3671017,4,0.0,300000,0,5.0
25.569,1761992946.3671017,5,0.0001,300000,0,5.0003
25.569,1761992946.3671017,6,0.0,300000,0,5.0
25.569,1761992946.3671017,7,0.0,300000,0,5.0
26.071,1761992946.868407,0,0.0,300000,0,5.0
26.071,1761992946.868407,1,0.0,300000,0,5.0
26.071,1761992946.868407,2,0.0049,300000,0,5.0097
26.071,1761992946.868407,3,0.0,300000,0,5.0
26.071,1761992946.868407,4,0.0,300000,0,5.0
26.071,1761992946.868407,5,0.0001,300000,0,5.0002
26.071,1761992946.868407,6,0.0,300000,0,5.0
26.071,1761992946.868407,7,0.0,300000,0,5.0
26.572,1761992947.3698173,0,0.0,300000,0,5.0
26.572,1761992947.3698173,1,0.0,300000,0,5.0
26.572,1761992947.3698173,2,0.0032,300000,0,5.0063
26.572,1761992947.3698173,3,0.0,300000,0,5.0
26.572,1761992947.3698173,4,0.0069,300000,0,5.0137
26.572,1761992947.3698173,5,0.0001,300000,0,5.0001
26.572,1761992947.3698173,6,0.0,300000,0,5.0
26.572,1761992947.3698173,7,0.0,300000,0,5.0
27.073,1761992947.871316,0,0.0,300000,0,5.0
27.073,1761992947.871316,1,0.0,300000,0,5.0
27.073,1761992947.871316,2,0.0021,300000,0,5.0041
27.073,1761992947.871316,3,0.0,300000,0,5.0
27.073,1761992947.871316,4,0.0112,300000,0,5.0224
27.073,1761992947.871316,5,0.0,300000,0,5.0001
27.073,1761992947.871316,6,0.0,300000,0,5.0
27.073,1761992947.871316,7,0.0,300000,0,5.0
27.575,1761992948.372708,0,0.0,300000,0,5.0
27.575,1761992948.372708,1,0.0,300000,0,5.0
27.575,1761992948.372708,2,0.0013,300000,0,5.0027
27.575,1761992948.372708,3,0.0,300000,0,5.0
27.575,1761992948.372708,4,0.0073,300000,0,5.0145
27.575,1761992948.372708,5,0.0,300000,0,5.0
27.575,1761992948.372708,6,0.0,300000,0,5.0
27.575,1761992948.372708,7,0.0,300000,0,5.0
28.076,1761992948.8738916,0,0.0,300000,0,5.0
28.076,1761992948.8738916,1,0.0,300000,0,5.0
28.076,1761992948.8738916,2,0.0009,300000,0,5.0017
28.076,1761992948.8738916,3,0.0,300000,0,5.0
28.076,1761992948.8738916,4,0.0047,300000,0,5.0095
28.076,1761992948.8738916,5,0.0,300000,0,5.0
28.076,1761992948.8738916,6,0.0,300000,0,5.0
28.076,1761992948.8738916,7,0.0,300000,0,5.0
28.577,1761992949.3751807,0,0.0,300000,0,5.0
28.577,1761992949.3751807,1,0.0,300000,0,5.0
28.577,1761992949.3751807,2,0.0006,300000,0,5.0011
28.577,1761992949.3751807,3,0.0,300000,0,5.0
28.577,1761992949.3751807,4,0.0031,300000,0,5.0061
28.577,1761992949.3751807,5,0.0,300000,0,5.0
28.577,1761992949.3751807,6,0.0,300000,0,5.0
28.577,1761992949.3751807,7,0.0,300000,0,5.0
29.079,1761992949.8765173,0,0.0069,300000,0,5.0137
29.079,1761992949.8765173,1,0.0,300000,0,5.0
29.079,1761992949.8765173,2,0.0004,300000,0,5.0007
29.079,1761992949.8765173,3,0.0,300000,0,5.0
29.079,1761992949.8765173,4,0.002,300000,0,5.004
29.079,1761992949.8765173,5,0.0,300000,0,5.0
29.079,1761992949.8765173,6,0.0069,300000,0,5.0137
29.079,1761992949.8765173,7,0.0,300000,0,5.0
29.58,1761992950.3777785,0,0.0045,300000,0,5.0089
29.58,1761992950.3777785,1,0.0,300000,0,5.0
29.58,1761992950.3777785,2,0.0002,300000,0,5.0005
29.58,1761992950.3777785,3,0.0,300000,0,5.0
29.58,1761992950.3777785,4,0.0013,300000,0,5.0026
29.58,1761992950.3777785,5,0.0,300000,0,5.0
29.58,1761992950.3777785,6,0.0045,300000,0,5.0089
29.58,1761992950.3777785,7,0.0,300000,0,5.0
